Year,Period of coverage,Breakdown,Level,Level description,Gender,Age,Indicator value,Lower CI,Upper CI,Numerator,Denominator
2020,1/1/2020 to 31/12/2020,England,England,England,Female,60 to 64,289.1,280.9,297.4,"4,707","1,628,300"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,65 to 69,430.8,420.1,441.7,6189,"1,436,600"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,70 to 74,641.1,628.3,654.2,9426,"1,470,200"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,All,113.7,112.4,115,28564,"25,734,700"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,0 to 4,1.5,1,2.2,24,"1,606,400"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,5 to 9,2,1.4,2.8,34,"1,725,700"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,10 to 14,1.6,1,2.3,26,"1,634,800"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,15 to 19,1.9,1.3,2.8,29,"1,502,500"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,20 to 24,3.4,2.6,4.4,58,"1,695,100"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,25 to 29,4.8,3.9,5.9,90,"1,868,300"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,30 to 34,12.4,10.9,14.1,237,"1,907,400"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,35 to 39,23.3,21.2,25.6,440,"1,884,500"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,40 to 44,37.9,35.1,41,650,"1,714,100"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,45 to 49,69.5,65.8,73.4,"1,305","1,876,500"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,50 to 54,118.4,113.7,123.3,"2,345","1,980,500"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,55 to 59,180.5,174.5,186.8,"3,360","1,861,000"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,60 to 64,286.9,278.7,295.4,"4,547","1,584,600"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,65 to 69,422.5,411.9,433.2,6100,"1,443,900"
2019,1/1/2019 to 31/12/2019,England,England,England,Female,70 to 74,643.1,630.1,656.2,9319,"1,449,200"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,All,116.1,114.8,117.5,28873,"25,655,200"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,0 to 4,1.6,1,2.3,26,"1,630,500"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,5 to 9,2.1,1.5,2.9,36,"1,719,900"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,10 to 14,1.8,1.2,2.5,28,"1,596,300"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,15 to 19,2.3,1.6,3.2,35,"1,506,700"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,20 to 24,3.7,2.8,4.7,63,"1,707,000"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,25 to 29,7,5.8,8.3,131,"1,879,900"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,30 to 34,13.1,11.5,14.9,249,"1,897,900"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,35 to 39,24.5,22.3,26.9,459,"1,871,600"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,40 to 44,37,34.2,40,631,"1,704,100"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,45 to 49,73.2,69.4,77.1,"1,405","1,919,500"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,50 to 54,112.2,107.6,117,"2,226","1,984,000"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,55 to 59,195,188.7,201.6,"3,530","1,810,000"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,60 to 64,293.4,284.9,302,"4,551","1,551,200"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,65 to 69,437.4,426.8,448.3,6371,"1,456,500"
2018,1/1/2018 to 31/12/2018,England,England,England,Female,70 to 74,643.1,629.9,656.4,9132,"1,420,100"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,All,117.9,116.5,119.3,28864,"25,526,400"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,0 to 4,1.8,1.2,2.5,29,"1,649,400"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,5 to 9,2.1,1.5,2.9,36,"1,706,900"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,10 to 14,1.9,1.3,2.8,30,"1,543,600"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,15 to 19,2.5,1.8,3.4,38,"1,519,100"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,20 to 24,2.4,1.7,3.2,41,"1,715,700"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,25 to 29,5.1,4.1,6.2,96,"1,893,300"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,30 to 34,11.7,10.2,13.4,221,"1,882,500"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,35 to 39,23.8,21.6,26.1,435,"1,830,200"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,40 to 44,40,37.1,43.1,693,"1,731,400"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,45 to 49,69.3,65.6,73.1,"1,348","1,946,300"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,50 to 54,119,114.3,123.9,"2,356","1,979,300"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,55 to 59,185,178.7,191.5,"3,256","1,759,600"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,60 to 64,299.7,291.1,308.6,"4,556","1,520,000"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,65 to 69,456.8,446,467.8,6813,"1,491,500"
2017,1/1/2017 to 31/12/2017,England,England,England,Female,70 to 74,656.8,643.2,670.5,8916,"1,357,500"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,All,122.5,121.1,123.9,29365,"25,381,100"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,0 to 4,1.6,1,2.3,26,"1,671,400"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,5 to 9,1.1,0.7,1.8,19,"1,672,600"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,10 to 14,1.9,1.2,2.7,28,"1,497,800"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,15 to 19,2.8,2,3.7,43,"1,547,600"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,20 to 24,3,2.2,3.9,52,"1,735,900"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,25 to 29,7,5.9,8.3,132,"1,887,400"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,30 to 34,14.3,12.6,16.1,268,"1,874,700"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,35 to 39,23.8,21.6,26.2,424,"1,783,200"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,40 to 44,40.1,37.2,43.2,714,"1,778,800"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,45 to 49,70.9,67.2,74.7,"1,392","1,963,300"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,50 to 54,122.7,117.9,127.7,"2,407","1,961,500"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,55 to 59,203.9,197.2,210.8,"3,481","1,707,200"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,60 to 64,306,297.2,315,"4,573","1,494,400"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,65 to 69,469.3,458.6,480.2,7328,"1,561,500"
2016,1/1/2016 to 31/12/2016,England,England,England,Female,70 to 74,681.6,667.2,696.3,8478,"1,243,800"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,All,121.7,120.3,123.1,28574,"25,186,400"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,0 to 4,1.4,0.9,2.1,23,"1,674,300"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,5 to 9,1.8,1.2,2.5,29,"1,638,600"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,10 to 14,1.6,1,2.4,24,"1,465,100"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,15 to 19,2.8,2,3.7,43,"1,562,800"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,20 to 24,3.3,2.5,4.3,58,"1,759,800"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,25 to 29,6.9,5.8,8.2,129,"1,870,600"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,30 to 34,12.3,10.8,14,230,"1,870,100"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,35 to 39,24.4,22.1,26.8,424,"1,740,300"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,40 to 44,39.3,36.4,42.2,719,"1,831,300"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,45 to 49,72.7,69,76.5,"1,430","1,967,600"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,50 to 54,122,117.1,127,"2,352","1,927,600"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,55 to 59,197.4,190.7,204.3,"3,270","1,656,700"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,60 to 64,312.2,303.3,321.3,"4,627","1,482,000"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,65 to 69,465.4,454.8,476.3,7225,"1,552,400"
2015,1/1/2015 to 31/12/2015,England,England,England,Female,70 to 74,673,658.3,687.9,7991,"1,187,400"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,All,123.8,122.3,125.2,28535,"24,988,100"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,0 to 4,1.9,1.3,2.7,32,"1,673,200"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,5 to 9,2.4,1.7,3.3,38,"1,597,200"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,10 to 14,1.5,0.9,2.3,22,"1,451,600"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,15 to 19,2.6,1.9,3.5,41,"1,572,200"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,20 to 24,3.3,2.5,4.2,58,"1,769,100"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,25 to 29,7.8,6.6,9.2,145,"1,857,200"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,30 to 34,13.4,11.8,15.2,250,"1,862,900"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,35 to 39,22.3,20.1,24.7,380,"1,701,200"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,40 to 44,42.8,39.9,45.9,800,"1,869,000"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,45 to 49,72.2,68.5,76,"1,431","1,983,100"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,50 to 54,122.2,117.2,127.3,"2,294","1,877,400"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,55 to 59,199.5,192.7,206.5,"3,213","1,610,400"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,60 to 64,319.5,310.4,328.7,"4,753","1,487,800"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,65 to 69,464.1,453.4,475.1,7096,"1,528,900"
2014,1/1/2014 to 31/12/2014,England,England,England,Female,70 to 74,696,680.8,711.4,7982,"1,146,800"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,All,126.5,125,127.9,28653,"24,817,500"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,0 to 4,1.9,1.3,2.6,31,"1,665,300"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,5 to 9,2.2,1.5,3.1,34,"1,555,900"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,10 to 14,2,1.3,2.9,29,"1,452,700"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,15 to 19,2.2,1.5,3.1,35,"1,584,100"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,20 to 24,4,3.1,5,71,"1,774,400"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,25 to 29,6.7,5.5,8,123,"1,844,700"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,30 to 34,13.1,11.5,14.9,243,"1,850,300"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,35 to 39,23.2,20.9,25.6,391,"1,687,700"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,40 to 44,42.7,39.8,45.7,816,"1,912,300"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,45 to 49,71.7,68.1,75.6,"1,425","1,986,100"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,50 to 54,123.9,118.8,129.1,"2,260","1,824,700"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,55 to 59,207.5,200.4,214.7,"3,267","1,574,600"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,60 to 64,324.2,315.1,333.4,"4,862","1,499,800"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,65 to 69,486.3,475.2,497.6,7285,"1,498,100"
2013,1/1/2013 to 31/12/2013,England,England,England,Female,70 to 74,703,687.5,718.8,7781,"1,106,900"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,All,129.7,128.2,131.2,28877,"24,670,200"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,0 to 4,2.3,1.6,3.1,38,"1,656,400"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,5 to 9,2.3,1.6,3.2,35,"1,505,100"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,10 to 14,2.5,1.8,3.5,37,"1,468,000"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,15 to 19,2.2,1.6,3.1,36,"1,600,700"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,20 to 24,3.1,2.4,4.1,56,"1,788,200"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,25 to 29,6.4,5.3,7.7,118,"1,834,000"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,30 to 34,13.5,11.8,15.3,244,"1,809,200"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,35 to 39,22.3,20.1,24.6,382,"1,716,100"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,40 to 44,42,39.2,45,816,"1,941,300"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,45 to 49,78.8,74.9,82.8,"1,562","1,982,200"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,50 to 54,132.8,127.5,138.3,"2,358","1,775,100"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,55 to 59,220.5,213.1,228,"3,404","1,543,800"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,60 to 64,335,325.9,344.3,"5,148","1,536,700"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,65 to 69,482.8,471.4,494.3,6920,"1,433,400"
2012,1/1/2012 to 31/12/2012,England,England,England,Female,70 to 74,715.2,699.3,731.3,7723,"1,079,900"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,All,131.5,130,133,28762,"24,511,700"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,0 to 4,1.9,1.3,2.7,31,"1,625,000"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,5 to 9,1.6,1.1,2.4,24,"1,459,600"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,10 to 14,1.3,0.8,2.1,20,"1,497,100"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,15 to 19,2.2,1.6,3.1,36,"1,623,200"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,20 to 24,4,3.2,5.1,72,"1,780,700"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,25 to 29,7.5,6.3,8.8,137,"1,831,300"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,30 to 34,12.9,11.2,14.7,227,"1,763,900"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,35 to 39,21.6,19.5,23.9,382,"1,766,700"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,40 to 44,42.7,39.8,45.7,836,"1,959,600"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,45 to 49,75.7,71.9,79.7,"1,489","1,966,000"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,50 to 54,134.4,129,140,"2,317","1,723,600"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,55 to 59,217.1,209.7,224.6,"3,297","1,518,700"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,60 to 64,342.9,333.9,352.1,"5,522","1,610,300"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,65 to 69,510.8,498.7,523.2,6717,"1,315,000"
2011,1/1/2011 to 31/12/2011,England,England,England,Female,70 to 74,714.8,698.8,731,7655,"1,071,000"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,All,131.2,129.7,132.8,28339,"24,325,800"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,0 to 4,2.5,1.8,3.4,40,"1,601,400"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,5 to 9,2.2,1.5,3.1,31,"1,433,900"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,10 to 14,2.5,1.8,3.4,38,"1,516,100"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,15 to 19,3.2,2.4,4.2,52,"1,633,900"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,20 to 24,3.1,2.3,4,54,"1,752,000"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,25 to 29,6.4,5.3,7.6,116,"1,820,800"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,30 to 34,11.5,10,13.3,198,"1,717,300"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,35 to 39,23.6,21.4,25.9,431,"1,826,300"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,40 to 44,44.7,41.8,47.7,879,"1,967,800"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,45 to 49,75.3,71.5,79.3,"1,458","1,935,500"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,50 to 54,133.6,128.1,139.3,"2,234","1,672,200"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,55 to 59,223.9,216.4,231.6,"3,378","1,508,700"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,60 to 64,340.3,331.4,349.5,"5,459","1,604,000"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,65 to 69,492.2,480,504.6,6189,"1,257,400"
2010,1/1/2010 to 31/12/2010,England,England,England,Female,70 to 74,721.6,705.6,737.8,7782,"1,078,500"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,All,133.5,132,135.1,28421,"24,144,000"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,0 to 4,2.2,1.6,3.1,35,"1,569,200"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,5 to 9,2.3,1.5,3.2,32,"1,421,300"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,10 to 14,2.4,1.7,3.3,37,"1,525,800"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,15 to 19,2.4,1.7,3.2,39,"1,644,300"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,20 to 24,3.7,2.8,4.7,64,"1,739,500"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,25 to 29,5.5,4.5,6.7,100,"1,803,100"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,30 to 34,11.7,10.1,13.4,196,"1,678,400"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,35 to 39,22.6,20.5,24.8,421,"1,866,500"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,40 to 44,44.3,41.5,47.4,881,"1,986,900"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,45 to 49,76.5,72.6,80.6,"1,446","1,889,800"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,50 to 54,138.2,132.5,144,"2,252","1,629,800"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,55 to 59,228.8,221.2,236.5,"3,473","1,518,100"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,60 to 64,341.3,332.3,350.6,"5,407","1,584,000"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,65 to 69,508.6,496,521.4,6190,"1,217,200"
2009,1/1/2009 to 31/12/2009,England,England,England,Female,70 to 74,733.4,717.2,749.8,7848,"1,070,100"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,All,136.8,135.2,138.4,28693,"23,969,800"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,0 to 4,2,1.3,2.8,30,"1,534,400"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,5 to 9,2.2,1.5,3.1,31,"1,421,600"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,10 to 14,1.7,1.1,2.5,26,"1,537,700"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,15 to 19,2.3,1.6,3.1,37,"1,636,700"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,20 to 24,3.3,2.5,4.3,57,"1,734,300"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,25 to 29,7,5.8,8.3,124,"1,781,800"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,30 to 34,12.8,11.2,14.7,214,"1,668,600"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,35 to 39,24.4,22.3,26.8,466,"1,906,100"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,40 to 44,47.9,44.9,51,953,"1,991,400"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,45 to 49,81.3,77.2,85.5,"1,495","1,840,000"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,50 to 54,142.6,136.8,148.6,"2,277","1,596,800"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,55 to 59,228.8,221.3,236.5,"3,509","1,533,600"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,60 to 64,357.3,348,366.8,"5,554","1,554,400"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,65 to 69,527.5,514.5,540.8,6222,"1,179,500"
2008,1/1/2008 to 31/12/2008,England,England,England,Female,70 to 74,731.1,714.9,747.6,7698,"1,052,900"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,All,138.6,137,140.2,28635,"23,777,100"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,0 to 4,2.2,1.5,3.1,33,"1,487,300"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,5 to 9,1.8,1.2,2.7,26,"1,435,300"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,10 to 14,2.7,1.9,3.6,41,"1,545,300"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,15 to 19,3.4,2.6,4.5,56,"1,633,700"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,20 to 24,4.6,3.7,5.8,79,"1,703,400"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,25 to 29,7,5.8,8.3,121,"1,736,500"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,30 to 34,12.4,10.8,14.2,210,"1,687,900"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,35 to 39,25.8,23.6,28.2,500,"1,934,900"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,40 to 44,47.1,44.1,50.2,940,"1,996,400"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,45 to 49,84.9,80.7,89.3,"1,520","1,790,200"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,50 to 54,144.5,138.6,150.6,"2,264","1,566,400"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,55 to 59,236.5,229,244.2,"3,739","1,581,200"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,60 to 64,363.2,353.6,373,"5,404","1,487,800"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,65 to 69,527.9,514.7,541.3,6089,"1,153,500"
2007,1/1/2007 to 31/12/2007,England,England,England,Female,70 to 74,733.9,717.5,750.6,7613,"1,037,400"
2006,1/1/2006 to 31/12/2006,England,England,England,Female,All,139.1,137.4,140.7,28365,"23,598,400"
2006,1/1/2006 to 31/12/2006,England,England,England,Female,0 to 4,2.8,2,3.8,40,"1,446,000"
2006,1/1/2006 to 31/12/2006,England,England,England,Female,5 to 9,1.9,1.3,2.8,28,"1,459,200"
2006,1/1/2006 to 31/12/2006,England,England,England,Female,10 to 14,1.8,1.2,2.6,28,"1,552,600"
2006,1/1/2006 to 31/12/2006,England,England,England,Female,15 to 19,2.9,2.1,3.9,47,"1,615,600"
2006,1/1/2006 to 31/12/2006,England,England,England,Female,20 to 24,3.2,2.4,4.1,53,"1,676,500"
2006,1/1/2006 to 31/12/2006,England,England,England,Female,25 to 29,6,4.9,7.3,101,"1,678,300"
